,EntityID,Age,Gender,Primary Language,Race,Ethnicity,Veteran Status
70,6014,27.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
71,6015,28.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
72,6016,80.0,Male,English,White,Non-Hispanic or Latino,No
73,6017,36.0,Female,English,American Indian or Alaska Native,Non-Hispanic or Latino,
74,6018,15.0,Male,English,White,Non-Hispanic or Latino,
75,6019,36.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
76,6021,22.0,Male,English,Data Not Collected,Client Refused,
77,6023,54.0,Female,English,White,Non-Hispanic or Latino,No
78,6024,30.0,Male,English,Data Not Collected,Client Refused,Data Not Collected
79,6025,38.0,Female,English,White,Non-Hispanic or Latino,
80,6026,61.0,Female,English,White,Non-Hispanic or Latino,No
81,6027,15.0,Male,English,Data Not Collected,Client Refused,
82,6028,38.0,Male,English,Data Not Collected,Client Refused,
83,6029,16.0,Female,English,White,Non-Hispanic or Latino,
84,6030,40.0,Female,English,White,Client Refused,No
85,6031,46.0,Male,English,Data Not Collected,Client Refused,Yes
86,6032,29.0,Female,English,Data Not Collected,Client Refused,
87,6033,7.0,Female,English,Data Not Collected,Client Refused,
88,6034,61.0,Female,English,White,Non-Hispanic or Latino,No
89,6035,16.0,Male,English,White,Non-Hispanic or Latino,
90,6036,22.0,Male,English,White,Non-Hispanic or Latino,
91,6037,40.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
92,6038,44.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
93,6039,34.0,Female,English,Data Not Collected,Client Refused,No
94,6040,9.0,Female,English,American Indian or Alaska Native,Non-Hispanic or Latino,
95,6041,32.0,Female,English,American Indian or Alaska Native,Non-Hispanic or Latino,No
96,6042,61.0,Male,English,Data Not Collected,Non-Hispanic or Latino,No
97,6043,42.0,Female,English,Data Not Collected,Non-Hispanic or Latino,Data Not Collected
98,6044,30.0,Male,English,Data Not Collected,Client Refused,No
99,6045,12.0,Male,English,Data Not Collected,Client Refused,
100,6046,35.0,Male,English,Data Not Collected,Client Refused,
101,6048,24.0,Male,English,White,Non-Hispanic or Latino,No
102,6049,35.0,Male,English,White,Non-Hispanic or Latino,No
103,6050,42.0,Male,English,Data Not Collected,Non-Hispanic or Latino,Data Not Collected
104,6051,59.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
105,6052,59.0,Female,English,Data Not Collected,Client Refused,No
106,6053,35.0,Female,English,Data Not Collected,Client Refused,
107,6054,51.0,Male,English,Data Not Collected,Client Refused,Data Not Collected
108,6055,48.0,Male,English,White,Non-Hispanic or Latino,
109,6056,29.0,Male,English,Data Not Collected,Client Refused,
110,6057,38.0,Female,English,American Indian or Alaska Native,Non-Hispanic or Latino,No
111,6058,84.0,Female,English,Data Not Collected,Client Refused,No
112,6059,36.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
113,6060,36.0,Male,English,Data Not Collected,Client Refused,No
114,6061,11.0,Male,English,White,Non-Hispanic or Latino,
115,6062,38.0,Female,English,White,Non-Hispanic or Latino,No
116,6063,59.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
117,6064,77.0,Female,English,White,Non-Hispanic or Latino,No
118,6065,10.0,Female,English,White,Client Refused,
119,6066,24.0,Female,English,White,Non-Hispanic or Latino,
120,6067,20.0,Female,English,White,Hispanic or Latino,
121,6068,77.0,Male,English,White,Non-Hispanic or Latino,No
122,6069,27.0,Female,English,Data Not Collected,Client Refused,
123,6070,36.0,Female,English,Data Not Collected,Client Refused,No
124,6071,20.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
125,6072,35.0,Female,English,White,Non-Hispanic or Latino,No
126,6073,10.0,Female,English,Data Not Collected,Client Refused,
127,6074,33.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
128,6075,31.0,Male,English,Data Not Collected,Client Refused,
129,6076,36.0,Female,English,Data Not Collected,Client Refused,Data Not Collected
130,6077,60.0,Female,English,Black or African American,Non-Hispanic or Latino,
131,6078,33.0,Male,English,White,Non-Hispanic or Latino,
132,6079,31.0,Female,English,Data Not Collected,Client Refused,
133,6080,15.0,Male,English,American Indian or Alaska Native,Non-Hispanic or Latino,
134,6081,37.0,Male,English,White,Non-Hispanic or Latino,
135,6082,62.0,Male,English,White,Non-Hispanic or Latino,No
136,6083,30.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
137,6084,64.0,Male,English,White,Non-Hispanic or Latino,No
138,6085,31.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
139,6086,67.0,Female,English,White,Client Refused,
140,6087,29.0,Male,English,Data Not Collected,Client Refused,
141,6088,54.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
142,6089,33.0,Male,English,Data Not Collected,Client Refused,
143,6090,60.0,Female,English,White,Non-Hispanic or Latino,No
144,6091,31.0,Male,English,Data Not Collected,Non-Hispanic or Latino,No
145,6092,55.0,Male,English,Data Not Collected,Non-Hispanic or Latino,Data Not Collected
146,6093,69.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
147,6094,67.0,Female,English,Data Not Collected,Client Refused,
148,6095,22.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
149,6096,81.0,Female,English,White,Non-Hispanic or Latino,Data Not Collected
150,6097,59.0,Male,English,Data Not Collected,Non-Hispanic or Latino,Data Not Collected
151,6098,69.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
152,6099,45.0,Male,English,Data Not Collected,Client Refused,
153,6100,81.0,Male,English,White,Client Refused,Yes
154,6101,27.0,Male,English,Data Not Collected,Client Refused,
155,6102,53.0,Male,English,White,Non-Hispanic or Latino,
156,6103,19.0,Male,English,White,Non-Hispanic or Latino,
157,6104,20.0,Male,English,Data Not Collected,Client Refused,
158,6105,39.0,Female,English,American Indian or Alaska Native,Non-Hispanic or Latino,Data Not Collected
159,6106,41.0,Female,English,Data Not Collected,Non-Hispanic or Latino,No
160,6107,7.0,Male,English,Data Not Collected,Client Refused,
161,6108,35.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
162,6109,26.0,Female,English,White,Non-Hispanic or Latino,
163,6110,28.0,Female,English,White,Non-Hispanic or Latino,
164,6111,62.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
165,6112,28.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
166,6113,24.0,Female,English,Data Not Collected,Non-Hispanic or Latino,No
167,6114,12.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
168,6115,48.0,Male,English,White,Client Refused,No
169,6116,17.0,Female,English,White,Non-Hispanic or Latino,
170,6117,30.0,Male,English,American Indian or Alaska Native,Non-Hispanic or Latino,No
171,6118,87.0,Female,English,White,Non-Hispanic or Latino,No
172,6119,12.0,Male,English,White,Non-Hispanic or Latino,
173,6120,41.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
174,6121,26.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
175,6122,28.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
176,6123,52.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
177,6124,56.0,Male,English,Data Not Collected,Non-Hispanic or Latino,No
178,6125,49.0,Male,English,Data Not Collected,Hispanic or Latino,
179,6126,12.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
180,6128,27.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
181,6129,48.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
182,6130,36.0,Female,English,White,Non-Hispanic or Latino,
183,6131,9.0,Female,English,White,Client Refused,
184,6132,17.0,Female,English,White,Non-Hispanic or Latino,
185,6133,52.0,Female,English,White,Non-Hispanic or Latino,
186,6134,23.0,Male,English,White,Client Refused,
187,6135,14.0,Male,English,White,Non-Hispanic or Latino,
188,6136,54.0,Female,English,White,Non-Hispanic or Latino,No
189,6137,15.0,Male,English,White,Non-Hispanic or Latino,
190,6138,26.0,Male,English,White,Non-Hispanic or Latino,Client refused
191,6139,34.0,Female,English,Data Not Collected,Client Refused,
192,6140,25.0,Female,English,White,Non-Hispanic or Latino,
193,6141,66.0,Female,English,White,Non-Hispanic or Latino,No
194,6142,33.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
195,6143,16.0,Female,English,White,Non-Hispanic or Latino,
196,6144,13.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
197,6145,37.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
198,6146,21.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
199,6147,51.0,Female,English,White,Client Refused,
200,6148,39.0,Male,English,White,Client Refused,
201,6149,49.0,Female,English,White,Non-Hispanic or Latino,Data Not Collected
202,6150,23.0,Male,English,Data Not Collected,Client Refused,No
203,6151,10.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
204,6152,17.0,Female,English,White,Non-Hispanic or Latino,
205,6153,74.0,Male,English,White,Non-Hispanic or Latino,
206,6154,16.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
207,6155,40.0,Female,English,Data Not Collected,Non-Hispanic or Latino,Data Not Collected
208,6156,12.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
209,6157,11.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
210,6159,41.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
211,6160,45.0,Female,English,Data Not Collected,Non-Hispanic or Latino,Data Not Collected
212,6161,8.0,Female,English,White,Non-Hispanic or Latino,
213,6162,39.0,Male,English,White,Non-Hispanic or Latino,No
214,6163,36.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
215,6164,20.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
216,6165,72.0,Male,English,White,Non-Hispanic or Latino,Yes
217,6166,13.0,Male,English,Data Not Collected,Client Refused,
218,6167,31.0,Male,English,Data Not Collected,Client Refused,No
219,6168,37.0,Female,English,White,Non-Hispanic or Latino,No
220,6169,12.0,Male,English,Data Not Collected,Client Refused,
221,6170,75.0,Male,English,White,Non-Hispanic or Latino,
222,6171,33.0,Female,English,White,Non-Hispanic or Latino,No
223,6172,15.0,Male,English,White,Non-Hispanic or Latino,
224,6173,83.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
225,6174,37.0,Male,English,American Indian or Alaska Native,Non-Hispanic or Latino,No
226,6175,29.0,Male,English,White,Non-Hispanic or Latino,
227,6176,59.0,Male,English,White,Non-Hispanic or Latino,No
228,6177,46.0,Female,English,Data Not Collected,Non-Hispanic or Latino,Data Not Collected
229,6178,40.0,Female,English,Data Not Collected,Client Refused,
230,6179,42.0,Male,English,Data Not Collected,Client Refused,Yes
231,6180,32.0,Female,English,White,Non-Hispanic or Latino,No
232,6181,30.0,Female,English,Data Not Collected,Client Refused,No
233,6182,47.0,Female,English,White,Non-Hispanic or Latino,No
234,6183,31.0,Male,English,White,Non-Hispanic or Latino,No
235,6184,44.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
236,6185,34.0,Male,English,Data Not Collected,Client Refused,No
237,6186,21.0,Male,English,White,Hispanic or Latino,
238,6187,50.0,Male,English,White,Non-Hispanic or Latino,No
239,6188,67.0,Male,English,Data Not Collected,Client Refused,
240,6189,46.0,Male,English,Data Not Collected,Client Refused,
241,6190,61.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
242,6191,30.0,Female,English,White,Non-Hispanic or Latino,No
243,6192,36.0,Male,English,Data Not Collected,Data Not Collected,No
244,6193,26.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
245,6194,13.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
246,6195,36.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
247,6196,29.0,Female,English,Data Not Collected,Client Refused,No
248,6197,29.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
249,6198,31.0,Male,English,White,Non-Hispanic or Latino,No
250,6199,40.0,Female,English,White,Non-Hispanic or Latino,Client refused
251,6200,65.0,Male,English,Asian,Non-Hispanic or Latino,Yes
252,6201,43.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
253,6202,32.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
254,6203,16.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
255,6204,26.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
256,6205,17.0,Male,English,White,Non-Hispanic or Latino,
257,6206,26.0,Male,English,White,Non-Hispanic or Latino,No
258,6207,34.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
259,6208,39.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
260,6209,70.0,Female,English,White,Non-Hispanic or Latino,No
261,6210,50.0,Male,English,White,Non-Hispanic or Latino,No
262,6211,82.0,Female,English,White,Non-Hispanic or Latino,No
263,6212,51.0,Female,English,Data Not Collected,Client Refused,
264,6213,49.0,Female,English,White,Non-Hispanic or Latino,Data Not Collected
265,6214,70.0,Female,English,White,Client Refused,
266,6215,13.0,Male,English,Data Not Collected,Hispanic or Latino,
267,6216,63.0,Female,English,White,Non-Hispanic or Latino,Data Not Collected
268,6217,29.0,Female,English,Data Not Collected,Client Refused,
269,6218,44.0,Female,English,White,Non-Hispanic or Latino,No
270,6219,33.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
271,6220,17.0,Male,English,White,Non-Hispanic or Latino,
272,6221,14.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
273,6223,63.0,Female,English,White,Non-Hispanic or Latino,No
274,6224,13.0,Female,English,Data Not Collected,Client Refused,
275,6225,17.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
276,6226,13.0,Female,English,White,Non-Hispanic or Latino,
277,6227,58.0,Female,English,White,Non-Hispanic or Latino,No
278,6228,62.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
279,6229,30.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
280,6230,42.0,Female,English,White,Non-Hispanic or Latino,
281,6231,22.0,Female,English,White,Non-Hispanic or Latino,
282,6232,10.0,Female,English,Data Not Collected,Client Refused,
283,6233,49.0,Female,English,White,Non-Hispanic or Latino,No
284,6234,12.0,Male,English,Data Not Collected,Client Refused,
285,6235,16.0,Female,English,Black or African American,Non-Hispanic or Latino,
286,6236,68.0,Female,English,White,Non-Hispanic or Latino,No
287,6237,51.0,Male,English,White,Non-Hispanic or Latino,No
288,6238,13.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
289,6239,11.0,Female,English,White,Non-Hispanic or Latino,
290,6240,12.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
291,6241,36.0,Male,English,Data Not Collected,Non-Hispanic or Latino,Data Not Collected
292,6242,33.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
293,6243,36.0,Male,English,White,Non-Hispanic or Latino,
294,6244,62.0,Female,English,Data Not Collected,Client Refused,Data Not Collected
295,6245,56.0,Female,English,White,Hispanic or Latino,No
296,6246,64.0,Female,English,White,Non-Hispanic or Latino,No
297,6247,37.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
298,6248,33.0,Male,English,Data Not Collected,Client Refused,No
299,6250,19.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
300,6251,16.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
301,6252,32.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
302,6253,70.0,Male,English,White,Non-Hispanic or Latino,No
303,6254,18.0,Female,English,Data Not Collected,Client Refused,
304,6255,27.0,Female,English,Data Not Collected,Client Refused,
305,6256,16.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
306,6257,36.0,Female,English,White,Non-Hispanic or Latino,
307,6258,28.0,Female,English,Data Not Collected,Client Refused,No
308,6259,29.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
309,6260,57.0,Female,English,Data Not Collected,Client Refused,
310,6261,18.0,Male,English,White,Hispanic or Latino,
311,6262,47.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
312,6263,42.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
313,6264,28.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
314,6265,16.0,Female,English,Data Not Collected,Client Refused,
315,6266,32.0,Male,English,Data Not Collected,Client Refused,
316,6267,32.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
317,6268,63.0,Female,English,White,Non-Hispanic or Latino,No
318,6269,52.0,Female,English,White,Non-Hispanic or Latino,No
319,6270,46.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
320,6271,11.0,Male,English,White,Non-Hispanic or Latino,
321,6272,84.0,Female,English,White,Non-Hispanic or Latino,No
322,6273,38.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
323,6274,40.0,Male,English,White,Non-Hispanic or Latino,No
324,6275,80.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
325,6276,14.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
326,6277,34.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
327,6278,23.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
328,6279,18.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
329,6280,18.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
330,6282,20.0,Male,English,Data Not Collected,Client Refused,
331,6283,22.0,Female,English,White,Non-Hispanic or Latino,No
332,6285,53.0,Female,English,White,Non-Hispanic or Latino,No
333,6286,52.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
334,6287,27.0,Male,English,Data Not Collected,Client Refused,
335,6288,41.0,Female,English,White,Non-Hispanic or Latino,No
336,6289,24.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
337,6290,15.0,Female,English,White,Non-Hispanic or Latino,
338,6291,34.0,Male,English,Data Not Collected,Client Refused,
339,6292,27.0,Male,English,Data Not Collected,Client Refused,
340,6293,33.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
341,6294,17.0,Female,English,Data Not Collected,Client Refused,
342,6296,41.0,Male,English,Data Not Collected,Non-Hispanic or Latino,Data Not Collected
343,6297,45.0,Female,English,Data Not Collected,Client Refused,Yes
344,6298,12.0,Male,English,White,Non-Hispanic or Latino,
345,6299,33.0,Female,English,White,Non-Hispanic or Latino,No
346,6300,9.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
347,6301,40.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
348,6302,71.0,Female,English,White,Non-Hispanic or Latino,No
349,6303,21.0,Male,English,Asian,Client Refused,
350,6304,51.0,Male,English,Data Not Collected,Client Refused,No
351,6305,75.0,Male,English,White,Non-Hispanic or Latino,Yes
352,6306,70.0,Male,English,White,Non-Hispanic or Latino,No
353,6307,24.0,Male,English,White,Non-Hispanic or Latino,
354,6308,50.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
355,6309,35.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
356,6310,13.0,Female,English,American Indian or Alaska Native,Non-Hispanic or Latino,
357,6311,19.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
358,6312,63.0,Female,English,White,Non-Hispanic or Latino,No
359,6313,32.0,Male,English,Data Not Collected,Non-Hispanic or Latino,Data Not Collected
360,6314,36.0,Female,English,Data Not Collected,Client Refused,
361,6315,18.0,Male,English,White,Non-Hispanic or Latino,
362,6316,61.0,Female,English,White,Non-Hispanic or Latino,No
363,6317,42.0,Male,English,Data Not Collected,Non-Hispanic or Latino,No
364,6318,59.0,Male,English,White,Non-Hispanic or Latino,Yes
365,6319,39.0,Male,English,Data Not Collected,Client Refused,
366,6320,28.0,Female,English,Data Not Collected,Non-Hispanic or Latino,No
367,6321,34.0,Male,English,Data Not Collected,Client Refused,No
368,6322,35.0,Female,English,Data Not Collected,Client Refused,No
369,6323,38.0,Male,English,American Indian or Alaska Native,Non-Hispanic or Latino,No
370,6324,12.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
371,6325,61.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
372,6326,47.0,Male,English,Multi-Racial,Non-Hispanic or Latino,No
373,6327,28.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
374,6328,49.0,Male,English,Data Not Collected,Client Refused,No
375,6329,31.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
376,6330,34.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
377,6331,26.0,Female,English,White,Non-Hispanic or Latino,No
378,6332,11.0,Female,English,White,Non-Hispanic or Latino,
379,6333,39.0,Male,English,Data Not Collected,Client Refused,
380,6334,51.0,Female,English,Data Not Collected,Client Refused,
381,6335,20.0,Female,English,White,Non-Hispanic or Latino,
382,6336,63.0,Male,English,White,Non-Hispanic or Latino,No
383,6337,55.0,Female,English,Data Not Collected,Client Refused,
384,6338,82.0,Male,English,White,Non-Hispanic or Latino,Yes
385,6339,40.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
386,6340,70.0,Female,English,White,Non-Hispanic or Latino,Data Not Collected
387,6341,41.0,Female,English,White,Non-Hispanic or Latino,No
388,6342,27.0,Male,English,Data Not Collected,Non-Hispanic or Latino,Data Not Collected
389,6343,15.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
390,6344,49.0,Male,English,White,Non-Hispanic or Latino,No
391,6345,82.0,Male,English,White,Non-Hispanic or Latino,Yes
392,6346,14.0,Male,English,White,Non-Hispanic or Latino,
393,6347,66.0,Male,English,Data Not Collected,Client Refused,
394,6348,66.0,Female,English,Data Not Collected,Client Refused,
395,6349,61.0,Male,English,White,Non-Hispanic or Latino,No
396,6350,31.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
397,6351,28.0,Female,English,Data Not Collected,Client Refused,
398,6352,77.0,Male,English,White,Non-Hispanic or Latino,No
399,6353,30.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
400,6354,19.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
401,6356,34.0,Male,English,Data Not Collected,Client Refused,
402,6357,33.0,Male,English,Data Not Collected,Client Refused,
403,6358,9.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
404,6359,43.0,Male,English,White,Non-Hispanic or Latino,No
405,6360,63.0,Female,English,White,Client Refused,
406,6361,19.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
407,6362,27.0,Female,English,Data Not Collected,Client Refused,No
408,6363,18.0,Female,English,Multi-Racial,Non-Hispanic or Latino,
409,6364,43.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
410,6365,44.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
411,6366,30.0,Female,English,Data Not Collected,Client Refused,Data Not Collected
412,6367,22.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
413,6368,10.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
414,6369,81.0,Female,English,White,Client Refused,No
415,6370,32.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
416,6371,38.0,Female,English,White,Non-Hispanic or Latino,
417,6372,75.0,Female,English,Data Not Collected,Client Refused,
418,6373,19.0,Male,English,Multi-Racial,Hispanic or Latino,
419,6374,48.0,Female,English,White,Non-Hispanic or Latino,No
420,6375,37.0,Male,English,White,Non-Hispanic or Latino,
421,6376,37.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
422,6377,25.0,Female,English,Data Not Collected,Client Refused,
423,6378,20.0,Male,English,Data Not Collected,Client Refused,
424,6379,53.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
