Description,Unit of Measure
Projects Funded,Each
Data Conversion,Each
Integration Services,Each
Training - Admin and Tools,Each
Training - Train the Trainer,Each
Customization - ECM,Each
Customization - Reporting,Each
Project Management,Each
"Training - SSRS ",Each
Travel Expenses,Each
Administration & Tools Training,Each
Discovery/Requirements Documentation,Each
Monthly Support,Each
Travel Time,Each
Analysis,Each
Onsite Discovery,Each
Requirements,Each
Design,Each
Implementation,Each
Test,Each
PTO,Each
Staff Training,Each
Administrative Time,Each
Meetings,Each
Sales Support,Each
Prof Svcs Documentation,Each
Contract Custom Item,Each
Case Opened,Each
Continuation of Services,Each
Case Closure,Each
Medical Appointments/Health Issue,Each
Legal Issue,Each
ESL Referral,Each
Child Care Assistance,Each
Housing Assistance,Dollar
Transportation Assistance,Each
Survivor of Torture Referral,Each
Employment Referral,Each
Interpretation/Translation,Each
Employment Skills Training,Each
Job Search,Each
Test Unit 10,Each
Client Work Services,Each
Test,Each
Maintenance,Each
In-Home Parenting Sessions,Hours
Bed/Crib,Each
Personal Hygiene Products,Each
Household Appliances,Each
Household Safety Repairs,Each
Positive Parenting Training,Each
Nutritional Education,Hours
"Initial Service Plan ",Each
File Clerk - Level 1,Each
File Clerk - Level 2,Each
Goal Plan Development,Each
Goal Plan Updates / Renewal,Each
Family Food Package (size 4-6),Each
"Financial assistance for rent ",Each
"Family hygiene Kit ",Each
"Clothing for 4 persons ",Each
"Diapers ",Each
Technical Writing,Each
"Computer Programming ",Each
Bus Ride,Dollar
Electricity,Each
Arrears,Dollar
CRF,Dollar
Meals - Adult,Each
Meals - Child,Each
BEST,Counseling
Counseling - Post Purchase,Hours
Counseling - Pre Purchase,Hours
Counseling - Purchase within 120 days,Counseling
Counseling - Purchase within 60 days,Counseling
Counseling - Purchase within 90 days,Counseling
Decided not to purchase,Counseling
Discharge - Deceased,Each
Discharge - Other,Each
Discharge - Relocated,Each
Discharge - Skilled Nursing Facility,Each
Down Payment Assistance,Home Purchase
Early Propane,Dollar
Education - Post Purchase,Counseling
Emergency Food Service,NULL
Emergency Temporary Shelter,Emergency Shelter (Beds/Nights)
LIEAP Intake,Counseling
Extended Rental Assistance,Dollar
Financial Literacy Class,Counseling
Follow-up Assessment,Counseling
Foreclosure Prevention - Pending Status,Counseling
Foreclosure Prevention - Resulted in deed in lieu,Counseling
Foreclosure Prevention - Resulted in foreclosure,Counseling
Foreclosure Prevention - Resulted in modi/refi/rep,Counseling
Foreclosure Prevention - Resulted in short sale,Counseling
Funds Leveraged,Dollar
Heat Assistance,Dollar
HTS Intake,Counseling
Initial Assessment,Counseling
Interim Housing,Days
Lease Up - Boulevard Apts,Lease Up
Lease Up - Castle Mountain,Lease Up
Lease Up - Colorado,Lease Up
Lease Up - Koch Condo,Lease Up
Lease Up - Miles Bldg,Lease Up
Lease Up - New Admission (S8),Lease Up
Lease Up - Sherwood Inn,Lease Up
Lease Up - Summit Place,Lease Up
Lease Up - Sunset Capital,Lease Up
Lease Up - West Babcock,Lease Up
Match Requirements (HOME Program),Dollar
Medium-Term Rental Assistance - Placement,Dollar
Medium-Term Rental Assistance - Prevention,Dollar
Minimum Buyer Contribution,Dollar
Mobile Outreach Intake,Counseling
Nutritional Services,Hours
One Time - Placement,Dollar
One Time - Prevention,Dollar
Personal Care Visit,Health Care Service
Pre-Purchase Homebuyer Education,Counseling
Program Enrollment,Counseling
Program Exit,Counseling
Resource Referral,Counseling
RN Skilled Nursing Visit,Health Care Service
Security Deposit,Dollar
Security Deposit Loan,Dollar
Short-Term Rental Assistance - Placement,Dollar
Short-Term Rental Assistance - Prevention,Dollar
Supplemental Food Service,CSFP Bag
Transitional Housing Rental Assistance,Dollar
Voucher Issuance,Voucher
Application Received,Each
Enrolled in Employment/Education Program,Each
Diploma Achieved (ABE/GED),Each
BEST - demonstrate increase in proficiency,Counseling
TABE - demonstrate increase in proficiency,Counseling
Achieved Post-Secondary Diploma/Certificate,Each
Placed in Non-Subsidized Employment,Each
Placed in Subsidized Employment (WEX),Each
Placed in Targeted Employment,Each
Employed and obtained increase in income/benefits,Each
Achieved living wage employment and/or benefits,Each
Job Retention (remains employed after 90 days),Each
Exited - Non Compliance,Each
"Exited to Education/Training, Military, etc.",Each
Exited to Employment,Each
Youth End Participation/End Follow Up,Each
Summer Enrichment - Enrollment,Each
Summer Enrichment - GPA increased,Each
Summer Enrichment - Attendance improved,Each
SE Dropout Prevention (re-enrollment in fall),Counseling
BEST - Work Readiness Certificate,Each
Work Site Visit,Counseling
Disaster - Referral,Each
Alcohol or Drug Abuse Services,Each
Anger Management,Each
Assisted Living,Each
Before/After School Care,Each
Bus Ride,Dollar
Caregiver Support,Each
Case Management,Hours
Child Abuse,Each
Child Care Services,Each
Child Support Services,Each
Classroom Training,Each
Community Education,Each
Community Garden,Each
Community Meeting,Each
Community Outreach Events,Each
Community Outreach Presentations,Each
Counseling,Each
CRF,Dollar
Deposit Refund to Customer,Dollar
Deposit Subsidized,Each
Deposit Subsidized,Dollar
Disaster - Food,Each
Disaster Services,Each
Domestic Violence Services,Each
Down Payment Assistance,Dollar
Drug Testing,Each
Early Propane,Dollar
Education,Each
Education - Post Purchase,Counseling
Electricity,Each
Emergency  Food Service,Individuals
Employment Services,Each
Employment Skills/Training Services,Each
Energy Conservation,Each
ESL,Each
Exited - Non Compliance,Each
Family Support,Hours
Financial Literacy,Each
Financial Services,Each
Food Services,Each
Counseling - Foreclosure Prevention,Hours
Foster Care Services,Each
GED/Adult Education,Each
Health Care/Services,Referral
Heat Assistance,Dollar
Home Health Care Services,Each
Home Purchase,Home Purchase
Home Safety/Repair Services,Each
Hospice,Each
Information and Referral,Each
HRDC Intake,Each
Intake,Each
Infant/Toddler Day Care,Each
Initial Assessment,Counseling
Inspection,Each
Interim Housing,Days
Interpretation/Translation,Each
Legal Services,Each
Life Skills,Each
Rental Deposit Subsidy,Dollar
Matched Savings Plan,Dollar
Meal - Adult,Each
Meal - Child,Each
Meal - Senior (60+),Each
Meal - Adult Seconds,Each
ESG-RRH Medium-Term Rental Assistance,Dollar
ESG-HP Medium-Term Rental Assistance,Dollar
Mental Health Services,Referral
Mortgage Lending,Each
Motel/Hotel,Dollar
Nutritional Services,Each
Personal Care Visit,Health Care Service
Personal Hygiene Products,Each
Phone Services,Each
Placed in Non-Subsidized Employment,Each
Placed in Subsidized Employment (WEX),Each
Placed in Targeted Employment,Each
Parenting Services,Each
Post-Secondary Education,Each
Homebuyer Education,Each
Program Enrollment,Each
Rent Subsidy,Dollar
Rental Assistance,Dollar
Resource Referral,Each
Resume Services,Each
RN Skilled Nursing Visit,Health Care Service
Summer Enrichment - Dropout Prevention,Each
ESG-RRH Security Deposit,Dollar
RLF-Security Deposit Loan,Dollar
ESG-RRH Short-Term Rental Assistance,Dollar
ESG-HP Short-Term Rental Assistance,Each
Speech/Language Services,Each
Supplemental Food Service,CSFP Bag
Tax Preparation/Filing,Counseling
Dental Services,Each
Long-Term Rental Assistance,Dollar
Transitional Housing,Each
Transportation,Referral
Utility Payment,Dollar
Utility Deposit,Dollar
Utility Deposit Subsidy,Dollar
RLF-Utility Loan,Dollar
Voucher Issuance,Voucher
"Holiday Food Box ",Individuals
SNAP Benefits,Each
Education - Post Purchase [FUTURE CLASS],Hours
Education - Home Buyer Education,Hours
Education,Hours
Physical/Sexual/Mental Abuse Services,Each
Individual/Family Support,Each
Senior Services,Each
Emergency Services,Each
Housing Search and Information,Each
Meal - Child Seconds,Each
Meal - Senior (60+) Seconds,Each
Meal - SFSP,Each
Meal - SFSP Seconds,Each
Meal - CACFP Adult,Each
Meal - CACFP Child,Each
KidsPack,Each
Micro Loan,Each
Job Search Assistance,Hours
Senior Services,Each
Public Assistance,Each
Respite Care Visit,Health Care Service
Education - Family Self Sufficiency,Hours
Education - Money Matters,Hours
Education - Ready to Rent,Hours
Education - BEST,Hours
Employment Services,Each
Transportation - Employment,Each
Transportation - Medical,Each
Transportation - Nutrition,Each
Transportation - Social,Each
Insurance Services,Each
Developmentally Disabled Services,Each
Youth Services,Each
Cancer Support Services,Each
Child Education Services,Each
Community Service/Volunteer,Each
Veterans Services,Each
Family/Child Activities,Each
Clothing,Each
Housewares,Each
TANF Benefits,Each
Health Insurance Services,Each
Medicaid,Each
HRDC Internal Referral,Each
Enrollment Accepted,Each
Completed Program,Each
Withdraw from Program,Each
Shower,Each
Law Enforcement,Each
RLF-Housing Assistance Loan,Dollar
Earned Income Tax Credit,Dollar
Child Tax Credit,Dollar
Elderly Tax Credit,Dollar
Number in Household,Individuals
Number of Household Members,Individuals
Certified Occupancy,Each
Credit Score,Score
Pre-Test Score,Each
Post-Test Score,Each
Rental Counseling,Hours
Lifetime Learning Credit,Dollar
American Opportunity Credit,Dollar
Home Purchase,Dollar
Lease Up - Move (S8),Lease Up
Annual Certification and Inspection,Each
Homeownership Voucher,Each
Denied,Each
CRF,Dollar
Loan Modification Submitted,Each
Referral to Attorney General,Each
New Client,Each
Weatherization Eligible Only,Each
Counseling - Financial,Hours
Advocacy,Hours
Intake/Tax Prep,Each
State Tax Prep/Filing,Dollar
Federal Tax Prep/Filing,Dollar
Elderly Homeowner/Renter Credit,Dollar
Additional Child Tax Credit,Dollar
Incentive Pay,Dollar
Hi Set Training,Each
BEST Training,Each
Mentoring,Hours
TABE Training,Hours
Employment Counseling,Hours
Support Service - Education,Dollar
Support Service - Child Care,Dollar
Support Service - Transportation,Dollar
Support Service - Training Related,Dollar
Support Service - Food,Dollar
Support Service - Health Care,Dollar
Support Service - Housing/Rental,Dollar
Support Service - Other,Dollar
Enrolled in Employment/Education Program,Each
Job Placement Achieved,Each
Placed in Targeted Employment,Each
Utility Grant,Dollar
Provided SNAP application/information,Each
SNAP Application Submitted,Each
Meal - Whittier After School Program,Each
Meal - Seconds,Each
Meal - SFSP - Kathy Hollensteiner Park - Seconds,Each
Meal – SFSP – Kathy Hollensteiner Park - Seconds,Each
Meal - SFSP - Stevenson Park,Each
Meal - SFSP - Stevenson Park - Seconds,Each
Meal - SFSP - MSU Family Grad Housing,Each
Meal - SFSP - MSU Family Grad Housing - Seconds,Each
Meal - SFSP - Beall Park,Each
Meal - SFSP - Beall Park - Seconds,Each
Meal - SFSP - Bozeman High School,Each
Meal - SFSP - Bozeman High School - Seconds,Each
Meal - SFSP - Whittier,Each
Meal - SFSP - Whittier - Seconds,Each
Meal - SFSP - Youth Dynamics,Each
Meal - SFSP - Youth Dynamics - Seconds,Each
KidsPack - Emily Dickinson,Each
KidsPack - Emily Dickinson Seconds,Each
KidsPack - Hawthorne,Each
KidsPack - Hawthorne Seconds,Each
KidsPack - Hyalite,Each
KidsPack - Hyalite Seconds,Each
KidsPack - Irving,Each
KidsPack - Irving Seconds,Each
KidsPack - Longfellow,Each
KidsPack - Longfellow Seconds,Each
KidsPack - Morning Star,Each
KidsPack - Morning Star Seconds,Each
KidsPack - Whittier,Each
KidsPack - Whittier Seconds,Each
KidsPack - Meadowlark,Each
KidsPack - Meadowlark Seconds,Each
KidsPack - LaMotte,Each
KidsPack - LaMotte Seconds,Each
KidsPack - Heck/Quaw,Each
KidsPack - Heck/Quaw Seconds,Each
KidsPack - Saddle Peak,Each
KidsPack - Saddle Peak Seconds,Each
KidsPack - Ridge View,Each
KidsPack - Ridge View Seconds,Each
KidsPack - Anderson,Each
KidsPack - Anderson Seconds,Each
KidsPack - Gallatin Gateway,Each
KidsPack - Gallatin Gateway Seconds,Each
KidsPack - Monforton,Each
KidsPack - Monforton Seconds,Each
KidsPack - Manhattan,Each
KidsPack - Manhattan Seconds,Each
KidsPack - Willow Creek,Each
KidsPack - Willow Creek Seconds,Each
KidsPack - Ophir,Each
KidsPack - Ophir Seconds,Each
KidsPack - West Yellowstone,Each
KidsPack - West Yellowstone Seconds,Each
KidsPack - Boulder,Each
KidsPack - Boulder Seconds,Each
KidsPack - Whitehall,Each
KidsPack - Whitehall Seconds,Each
KidsPack - Ennis,Each
KidsPack - Ennis Seconds,Each
KidsPack - Harrison,Each
KidsPack - Harrison Seconds,Each
KidsPack - Sheridan,Each
KidsPack - Sheridan Seconds,Each
KidsPack - Twin Bridges,Each
KidsPack - Twin Bridges Seconds,Each
Meal - Family,Each
SNAP Online Screening and Estimated Benefit,Dollar
SNAP Number of Household Members,Individuals
Interim,Each
ESG-HP Short-Term Arrears,Dollar
ESG-HP Medium-Term Arrears,Dollar
Annual Certification,Each
Second Mortgage,Dollar
Length of Occupancy,Months
Equity Built,Dollar
Repayment Amount,Dollar
Assessment,Each
Benefits/Entitlements/Insurance,Hours
Conflict Resolution,Hours
Crisis Intervention/Support Counseling,Hours
Education/Employment,Referral
Homemaker,Referral
Home Management,Hours
Lease Education,Hours
Meals,Referral
Monitoring Services,Hours
Substance Abuse,Referral
Transfer to Alternate Housing or Hospital,Hours
Meal - SFSP - Community Cafe,Each
Meal - SFSP - Community Cafe - Seconds,Each
Meal - SFSP - Bozeman High School - Breakfast,Each
Meal - SFSP - Bozeman High School - Breakfast - Seconds,Each
Meal - SFSP - Kathy Hollensteiner Park - Breakfast - Seconds,Each
Meal - SFSP - Kathy Hollensteiner Park,Each
Meal - SFSP - Whittier - Breakfast - Seconds,Each
Meal - SFSP - Kathy Hollensteiner Park - Breakfast,Each
Meal - SFSP - Whittier - Breakfast,Each
KidsPack - Amsterdam,Each
KidsPack - Three Forks,Each
Employment Training,Each
Job Retention 90 Days,Each
RLF-Other Loan,Dollar
Child Care Credit,Dollar
Diversion,Each
Housing Workshop,Each
Soft Skills Training,Each
Resource Connect - Application Assistance,Each
Resource Connect - Housing Search,Each
Resource Connect - Job Search,Each
Resource Connect - Budgeting,Each
Resource Connect - Role Modeling,Each
Lease Up - Big Sky Villa,Lease Up
Lease Up - Canterbury House,Lease Up
Meal - SFSP - Bozeman Public Library,Each
Meal - SFSP - Bozeman Public Library - Seconds,Each
Meal - SFSP - Irving Elementary,Each
Meal - SFSP - Irving Elementary - Seconds,Each
Meal - SFSP - Irving Elementary - Breakfast,Each
Meal - SFSP - Irving Elementary - Breakfast - Seconds,Each
Meal - SFSP - Head Start (Bozeman Center),Each
Meal - SFSP - Head Start (Bozeman Center) - Seconds,Each
Meal - SFSP - Head Start (Bozeman Center) - Breakfast,Each
Meal - SFSP - Head Start (Bozeman Center) - Breakfast - Seconds,Each
CoC-FTIP Utility Assistance,Dollar
Canterbury Lease Up,Lease Up
Canterbury Interim Housing,Days
ESG-HP Security Deposit,Dollar
ESG-HP Application Fee,Dollar
ESG-RRH Application Fee,Dollar
Carriage Lease Up,Lease Up
Carriage Interim Housing,Days
CoC-FTIP Lease Up,Lease Up
CoC-RRH Lease Up,Lease Up
CoC-FTIP Security Deposit,Dollar
CoC-RRH Security Deposit,Dollar
CoC-FTIP Short-Term Rental Assistance,Dollar
CoC-RRH Short-Term Rental Assistance,Dollar
CoC-FTIP Medium-Term Rental Assistance,Dollar
CoC-RRH Medium-Term Rental Assistance,Dollar
CoC-RRH Utility  Assistance,Dollar
ESG-RRH Lease Up,Lease Up
Canterbury Application,Each
Housing First Case Management,Hours
RLF-Pay Off,Dollar
ESG-HP Lease Up/Prevent Eviction,Each
CoC-FTIP Last Month's Rent,Dollar
CoC-RRH Last Month's Rent,Dollar
Housing Assistance,Each
Meal - SFSP - Bozeman Public Library - Breakfast,Each
Meal - SFSP - Bozeman Public Library - Breakfast - Seconds,Each
Meal - SFSP - Kirk Park,Each
Meal - SFSP - Kirk Park - Seconds,Each
HTS-Housing Assistance,Counseling
HTS-Other,Dollar
HTS-Utility Payment,Dollar
HTS-Security Deposit,Dollar
HTS-Short-Term Arrears,Dollar
HTS-Short-Term Rental Assistance,Dollar
Stabilized Housing with Assistance,Each
Stabilized Housing without Assistance,Each
Lease Up/Secure Housing with Assistance,Each
Lease Up/Secure Housing without Assistance,Each
WC-Motel/Hotel,Dollar
SNav-Intake Completed,Each
SNav-SNAP Number of Household Members,Each
SNav-SNAP Online Screening and Estimated Benefit,Dollar
Housing Navigation Service,Each
Lease Up - Buffalo Court,Lease Up
Lease Up - Antelope Court,Lease Up
Lease Up - Guardian,Lease Up
Date Occupied,Each
CoC-FAM Last Month's Rent,Dollar
CoC-FAM Lease Up,Lease Up
CoC-FAM Medium-Term Rental Assistance,Dollar
CoC-FAM Security Deposit,Dollar
CoC-FAM Short-Term Rental Assistance,Dollar
CoC-FAM Utility Assistance,Dollar
Guest Laundry,Each
DPA - Certified Occupancy,Each
DPA - Counseling - Financial,Hours
DPA - Counseling - Post-Purchase,Hours
DPA - Credit Score,Score
DPA - Down Payment Assistance,Home Purchase
DPA - Follow-up Assessment,Each
DPA - Funds Leveraged,Dollar
DPA - Home Purchase,Dollar
DPA - Matched Savings Plan,Dollar
DPA - Number of Household Members,Each
DPA - HOME Total Hours,Hours
DPA - COB Funded,Dollar
FP - Counseling - Foreclosure Prevention,Hours
FP - Counseling - Pre-Purchase,Hours
FP - Loan Modification Submitted,Each
FP - Number of Household Members,Each
FP - Referral to Attorney General,Each
HBE - Education - Home Buyer Education,Hours
HBE - Number of Household Members,Each
HBE - Post-Test Score,Score
HBE - Pre-Test Score,Score
HBE - Counseling - Pre-Purchase,Hours
HBE - Counseling - Post-Purchase,Hours
HBE - COB Outgoing Referral,Referral
Meal - SFSP - Belgrade CSCT - Breakfast - Seconds,Each
Meal - SFSP - Belgrade CSCT - Breakfast,Each
Meal - SFSP - Belgrade CSCT - Seconds,Each
Meal - SFSP - Belgrade CSCT,Each
Meal - SFSP - Hyalite CSCT,Each
Meal - SFSP - Hyalite CSCT - Seconds,Each
Meal - SFSP - Hyalite CSCT - Breakfast,Each
Meal - SFSP - Hyalite CSCT - Breakfast - Seconds,Each
Meal - SFSP - Journey YMCA,Each
Meal - SFSP - Journey YMCA - Seconds,Each
Meal - SFSP - Journey YMCA - Breakfast,Each
Meal - SFSP - Journey YMCA - Breakfast - Seconds,Each
Meal - SFSP - Beall Park - Breakfast,Each
Meal - SFSP - Beall Park - Breakfast - Seconds,Each
Lease Up - Carriage House,Lease Up
Lease Up - Lippencott,Lease Up
Lease Up - Northstar,Lease Up
Lease Up - Sherwood House,Lease Up
Lease Up - West Edge,Lease Up
KidsPack - Basin,Each
KidsPack - Basin Seconds,Each
KidsPack - Cottonwood Day,Each
KidsPack - Cottonwood Day Seconds,Each
Meal - SFSP - Belgrade CSCT,Each
EFSP-Rental Arrears (one month),Dollar
EFSP-Utility Arrears (one month),Dollar
EFSP-Foreclosure Prevention (one month),Dollar
Day Center,Each
Check-in,Each
Computer Use - Employment,Each
Computer Use - Housing,Each
Computer Use - General,Each
KidsPack - Three Forks Seconds,Each
KidsPack - Amsterdam Seconds,Each
Case Management - Day Center,Each
KidsPack - Youth Dynamics,Each
KidsPack - Youth Dynamics Seconds,Each
Housing Navigation - Bozeman,Each
Housing Navigation - Livingston,Each
Housing Navigation - Day Center,Each
Housing Workshop - Bozeman,Each
Housing Workshop - Livingston,Each
Housing Workshop - Day Center,Each
EFSP-Rental Assistance,Dollar
Consent to Coordinated Entry,Each
WIOA-ISY Dropout Prevention,Each
WIOA-ISY Alternative Secondary School Services,Each
WIOA-ISY WEX,Each
WIOA-ISY Un-Subsidized Employment,Each
WIOA-ISY Pre-Apprenticeship,Each
WIOA-ISY Internships,Each
WIOA-ISY Occupational Skills Training,Each
WIOA-ISY Soft Skills Training,Each
WIOA-ISY Leadership Development Opportunities,Each
WIOA-ISY Supportive Services,Each
WIOA-ISY Adult Mentoring,Each
WIOA-ISY Follow Up Services,Each
WIOA-ISY Drug and Alcohol Abuse Counseling,Each
WIOA-ISY Financial Literacy Education,Each
WIOA-ISY Entrepreneurial Skills Training,Each
WIOA-ISY Career Planning,Each
WIOA-ISY Post-Secondary Planning,Each
WIOA-ISY Streamline,Each
WIOA-ISY Own Car,Each
WIOA-ISY DL Procurement,Each
WIOA-ISY Accessing Medical Services,Each
WIOA-ISY Accessing Mental Health,Each
WIOA-OSY Dropout Prevention,Each
WIOA-OSY Alternative Secondary School Services,Each
WIOA-OSY WEX,Each
WIOA-OSY Un-Subsidized Employment,Each
WIOA-OSY Pre-Apprenticeship,Each
WIOA-OSY Internships,Each
WIOA-OSY Occupational Skills Training,Each
WIOA-OSY Soft Skills Training,Each
WIOA-OSY Leadership Development Opportunities,Each
WIOA-OSY Supportive Services,Each
WIOA-OSY Adult Mentoring,Each
WIOA-OSY Follow Up Services,Each
WIOA-OSY Drug and Alcohol Abuse Counseling,Each
WIOA-OSY Financial Literacy Education,Each
WIOA-OSY Entrepreneurial Skills Training,Each
WIOA-OSY Career Planning,Each
WIOA-OSY Post-Secondary Planning,Each
WIOA-OSY Streamline,Each
WIOA-OSY Own Car,Each
WIOA-OSY DL Procurement,Each
WIOA-OSY Accessing Medical Services,Each
WIOA-OSY Accessing Mental Health,Each
FY Dropout Prevention,Each
FY Alternative Secondary School Services,Each
FY Un-Subsidized Employment,Each
FY Soft Skills Training,Each
FY Leadership Development Opportunities,Each
FY Supportive Services,Each
FY Adult Mentoring,Each
FY Drug and Alcohol Abuse Counseling,Each
FY Financial Literacy Education,Each
FY Entrepreneurial Skills Training,Each
FY Career Planning,Each
FY Post-Secondary Planning,Each
FY Streamline,Each
FY Own Car,Each
FY Vital Document Procurement,Each
