EntityID,Date,Childcare,Childcare_d,Education,Education_d,Employment,Employment_d,Financial Literacy,Financial Literacy_d,Food Security,Food Security_d,Health Care/Services,Health Care/Services_d,Housing,Housing_d,Income,Income_d,Nutrition,Nutrition_d,Transportation,Transportation_d
6016,2015-10-26,7.0,,5.0,,8.0,,,,,,,,13.0,,2.0,,,,3.0,
6016,2016-10-01,7.0,0.0,5.0,0.0,8.0,0.0,,,,,,,13.0,0.0,2.0,0.0,,,,
6016,2017-11-27,7.0,0.0,5.0,0.0,8.0,0.0,,,,,,,14.0,1.0,2.0,0.0,,,,
6016,2018-02-12,7.0,0.0,5.0,0.0,8.0,0.0,,,,,,,12.0,-2.0,2.0,0.0,,,5.0,2.0
6016,2018-09-26,7.0,0.0,5.0,0.0,1.0,-7.0,,,,,,,15.0,3.0,2.0,0.0,,,,
6016,2019-01-08,7.0,0.0,5.0,0.0,8.0,0.0,,,,,,,12.0,0.0,2.0,0.0,,,5.0,0.0
6016,2019-10-07,,,5.0,0.0,8.0,7.0,,,3.0,,,,13.0,-2.0,,,3.0,,4.0,-1.0
6024,2015-10-19,7.0,,4.0,,2.0,,,,4.0,,,,15.0,,1.0,,,,3.0,
6026,2016-02-05,7.0,,4.0,,8.0,,,,,,,,16.0,,3.0,,,,,
6026,2019-12-09,7.0,0.0,,,1.0,-7.0,5.0,,4.0,,,,2.0,-14.0,2.0,-1.0,4.0,,,
6034,2015-10-21,,,3.0,,2.0,,,,4.0,,,,7.0,,5.0,,,,4.0,
6034,2015-12-08,7.0,,4.0,1.0,8.0,6.0,,,,,,,16.0,9.0,4.0,-1.0,,,5.0,1.0
6039,2016-11-01,5.0,,5.0,,5.0,,,,4.0,,,,7.0,,4.0,,,,5.0,
6041,2015-01-16,4.0,,3.0,,3.0,,,,,,,,15.0,,1.0,,,,4.0,
6041,2016-01-05,,,4.0,1.0,2.0,-1.0,,,,,,,15.0,0.0,,,,,,
6041,2016-04-25,,,4.0,0.0,2.0,0.0,,,,,,,7.0,-8.0,1.0,0.0,,,3.0,-1.0
6041,2016-06-20,4.0,0.0,3.0,-1.0,3.0,1.0,,,,,,,15.0,8.0,2.0,1.0,,,,
6041,2016-08-01,4.0,0.0,3.0,0.0,2.0,-1.0,,,,,,,5.0,-10.0,1.0,-1.0,,,3.0,0.0
6041,2017-05-02,2.0,-2.0,3.0,0.0,2.0,0.0,,,,,,,3.0,-2.0,1.0,0.0,,,4.0,1.0
6043,2018-11-13,4.0,,4.0,,4.0,,7.0,,4.0,,4.0,,7.0,,2.0,,5.0,,5.0,
6049,2017-02-05,7.0,,3.0,,2.0,,,,,,,,1.0,,1.0,,,,3.0,
6057,2015-12-18,7.0,,3.0,,3.0,,,,,,,,15.0,,3.0,,,,4.0,
6057,2016-02-16,2.0,-5.0,3.0,0.0,7.0,4.0,,,,,,,15.0,0.0,4.0,1.0,,,4.0,0.0
6057,2018-04-15,7.0,5.0,3.0,0.0,8.0,1.0,1.0,,4.0,,,,15.0,0.0,4.0,0.0,,,4.0,0.0
6064,2015-10-09,7.0,,4.0,,8.0,,,,,,,,20.0,,4.0,,,,,
6064,2016-10-01,7.0,0.0,4.0,0.0,8.0,0.0,,,,,,,16.0,-4.0,4.0,0.0,,,4.0,
6064,2017-09-22,7.0,0.0,4.0,0.0,8.0,0.0,,,,,,,16.0,0.0,4.0,0.0,,,,
6064,2018-03-09,7.0,0.0,4.0,0.0,8.0,0.0,,,,,,,16.0,0.0,4.0,0.0,,,,
6064,2018-09-21,7.0,0.0,4.0,0.0,1.0,-7.0,,,,,,,16.0,0.0,4.0,0.0,,,,
6064,2019-07-25,7.0,0.0,2.0,-2.0,8.0,7.0,11.0,,2.0,,4.0,,16.0,0.0,4.0,0.0,,,5.0,1.0
6068,2017-11-02,7.0,,3.0,,2.0,,,,,,,,3.0,,2.0,,,,3.0,
6082,2016-06-22,7.0,,2.0,,8.0,,,,,,,,20.0,,5.0,,,,5.0,
6086,2012-12-17,7.0,,6.0,1.0,3.0,,,,,,,,5.0,-7.0,1.0,,,,4.0,
6086,2013-01-30,7.0,0.0,5.0,,2.0,-1.0,,,,,,,1.0,-4.0,1.0,0.0,,,3.0,-1.0
6086,2013-03-21,,,,,,,,,,,,,12.0,,,,,,,
6090,2016-01-07,7.0,,5.0,,3.0,,,,,,,,16.0,,3.0,,,,5.0,
6090,2017-01-17,7.0,0.0,4.0,-1.0,1.0,-2.0,,,,,,,16.0,0.0,1.0,-2.0,,,,
6090,2017-10-31,7.0,0.0,5.0,1.0,1.0,0.0,,,,,,,16.0,0.0,2.0,1.0,,,,
6091,2019-01-24,7.0,,4.0,,1.0,,,,,,,,13.0,,2.0,,,,,
6097,2016-05-10,,,4.0,,2.0,,,,3.0,,,,3.0,,1.0,,,,4.0,
6097,2019-08-28,7.0,,4.0,0.0,1.0,-1.0,1.0,,2.0,-1.0,,,,,1.0,0.0,,,,
6100,2018-02-23,7.0,,4.0,,8.0,,,,,,,,20.0,,4.0,,,,,
6105,2017-02-01,6.0,,5.0,,5.0,,,,3.0,,5.0,,10.0,,2.0,,,,4.0,
6105,2018-02-14,5.0,-1.0,4.0,-1.0,5.0,0.0,1.0,,3.0,0.0,5.0,0.0,13.0,3.0,1.0,-1.0,,,4.0,0.0
6118,2016-02-10,7.0,,2.0,,8.0,,,,,,,,12.0,,3.0,,,,4.0,
6136,2013-01-30,7.0,0.0,3.0,-1.0,7.0,0.0,,,,,,,20.0,0.0,4.0,2.0,,,,
6136,2015-12-29,7.0,0.0,4.0,1.0,6.0,-1.0,,,,,,,20.0,0.0,6.0,2.0,,,5.0,
6136,2016-10-24,7.0,,4.0,,7.0,,,,,,,,20.0,,2.0,,,,,
6136,2017-10-26,,,3.0,-1.0,2.0,-4.0,,,,,,,20.0,0.0,2.0,-4.0,,,,
6136,2018-10-19,,,3.0,0.0,1.0,-1.0,,,,,,,20.0,0.0,4.0,2.0,,,,
6141,2016-04-21,7.0,,4.0,,8.0,,,,,,,,16.0,,2.0,,,,5.0,
6141,2017-04-06,7.0,0.0,4.0,0.0,1.0,-7.0,,,,,,,16.0,0.0,2.0,0.0,,,,
6141,2018-02-06,7.0,0.0,4.0,0.0,8.0,7.0,,,,,,,16.0,0.0,2.0,0.0,,,,
6141,2019-02-08,7.0,0.0,4.0,0.0,8.0,0.0,,,,,,,16.0,0.0,3.0,1.0,,,,
6171,2016-04-11,7.0,,2.0,,8.0,,,,,,,,17.0,,6.0,,,,5.0,
6176,2017-01-02,7.0,,5.0,,3.0,,,,,,,,3.0,,1.0,,,,2.0,
6176,2020-02-02,7.0,0.0,5.0,0.0,1.0,-2.0,,,,,,,5.0,2.0,1.0,0.0,,,3.0,1.0
6179,2015-05-01,7.0,,2.0,,3.0,,,,2.0,,,,15.0,,1.0,,,,4.0,
6181,2017-09-14,7.0,,2.0,,5.0,,7.0,,4.0,,2.0,,16.0,,4.0,,4.0,,4.0,
6182,2015-10-21,7.0,,5.0,,3.0,,,,,,,,12.0,,,,,,5.0,
6182,2015-11-03,5.0,-2.0,3.0,-2.0,3.0,0.0,,,,,,,12.0,0.0,,,,,3.0,-2.0
6182,2016-10-14,7.0,2.0,5.0,2.0,2.0,-1.0,,,,,,,13.0,1.0,1.0,,,,,
6183,2014-10-22,7.0,,3.0,,4.0,,,,,,,,3.0,,4.0,,,,2.0,
6183,2019-07-26,7.0,0.0,3.0,0.0,8.0,4.0,12.0,,1.0,,5.0,,15.0,12.0,5.0,1.0,5.0,,4.0,2.0
6187,2017-01-20,,,4.0,,,,,,,,,,5.0,,,,,,3.0,
6191,2016-04-25,,,2.0,,3.0,,,,2.0,,,,15.0,,1.0,,,,5.0,
6191,2017-09-06,2.0,,4.0,2.0,6.0,3.0,,,,,,,15.0,0.0,1.0,0.0,,,3.0,-2.0
6196,2015-04-14,,,3.0,,5.0,,,,1.0,,,,11.0,,3.0,,,,1.0,
6196,2016-04-05,,,,,3.0,-2.0,,,3.0,2.0,,,7.0,-4.0,2.0,-1.0,,,4.0,3.0
6198,2016-03-14,7.0,,2.0,,3.0,,,,,,,,15.0,,3.0,,,,4.0,
6198,2017-02-13,7.0,0.0,3.0,1.0,8.0,5.0,11.0,,4.0,,4.0,,,,4.0,1.0,,,2.0,-2.0
6199,2016-10-28,7.0,,4.0,,7.0,,,,4.0,,,,17.0,,4.0,,,,5.0,
6199,2020-06-06,,,4.0,0.0,2.0,-5.0,,,,,,,16.0,-1.0,2.0,-2.0,,,,
6200,2020-06-22,7.0,,4.0,,8.0,,,,3.0,,,,16.0,,2.0,,,,,
6209,2015-12-04,1.0,,4.0,,2.0,,,,,,,,11.0,,3.0,,,,4.0,
6209,2016-05-24,,,4.0,0.0,2.0,0.0,,,4.0,,,,15.0,4.0,2.0,-1.0,,,5.0,1.0
6209,2017-08-07,7.0,6.0,4.0,0.0,8.0,6.0,,,,,,,13.0,-2.0,2.0,0.0,,,5.0,0.0
6209,2018-08-07,7.0,0.0,4.0,0.0,8.0,0.0,,,,,,,13.0,0.0,2.0,0.0,,,5.0,0.0
6211,2015-12-28,7.0,,2.0,,8.0,,,,,,,,13.0,,2.0,,,,4.0,
6211,2016-11-03,7.0,0.0,2.0,0.0,8.0,0.0,,,,,,,12.0,-1.0,2.0,0.0,,,,
6211,2017-11-29,7.0,0.0,2.0,0.0,8.0,0.0,,,,,,,12.0,0.0,2.0,0.0,,,,
6211,2018-08-20,7.0,0.0,2.0,0.0,1.0,-7.0,,,,,,,12.0,0.0,2.0,0.0,,,,
6211,2018-10-29,7.0,0.0,2.0,0.0,8.0,7.0,,,,,,,13.0,1.0,2.0,0.0,,,,
6211,2019-10-31,7.0,0.0,2.0,0.0,8.0,0.0,,,,,,,13.0,0.0,2.0,0.0,,,,
6213,2017-04-28,,,4.0,,3.0,,,,,,,,16.0,,3.0,,,,,
6233,2016-01-08,7.0,,4.0,,3.0,,,,,,,,15.0,,3.0,,,,,
6233,2016-11-17,7.0,0.0,4.0,0.0,3.0,0.0,,,,,,,15.0,0.0,4.0,1.0,,,,
6233,2018-04-13,7.0,0.0,4.0,0.0,5.0,2.0,,,,,,,17.0,2.0,4.0,0.0,,,,
6233,2018-10-25,7.0,0.0,4.0,0.0,4.0,-1.0,,,,,,,15.0,-2.0,3.0,-1.0,,,,
6233,2019-10-18,7.0,0.0,4.0,0.0,3.0,-1.0,,,,,,,15.0,0.0,4.0,1.0,,,,
6236,2016-04-15,7.0,,4.0,,3.0,,,,,,,,16.0,,4.0,,,,5.0,
6236,2017-04-17,7.0,0.0,4.0,0.0,8.0,5.0,,,,,,,16.0,0.0,5.0,1.0,,,,
6236,2018-01-08,7.0,0.0,4.0,0.0,4.0,-4.0,,,,,,,16.0,0.0,4.0,-1.0,,,,
6246,2015-10-07,,,4.0,,2.0,,,,,,,,20.0,,4.0,,,,4.0,
6246,2017-05-05,7.0,,,,8.0,6.0,,,,,,,16.0,-4.0,4.0,0.0,,,,
6246,2017-10-02,7.0,0.0,4.0,0.0,1.0,-7.0,,,,,,,16.0,0.0,4.0,0.0,,,,
6246,2018-10-01,7.0,0.0,4.0,0.0,1.0,0.0,,,,,,,16.0,0.0,4.0,0.0,,,,
6253,2016-03-22,7.0,0.0,1.0,0.0,8.0,0.0,,,,,,,20.0,0.0,1.0,0.0,,,5.0,0.0
6253,2017-03-22,,,1.0,0.0,2.0,-6.0,,,4.0,,,,20.0,0.0,1.0,0.0,,,5.0,0.0
6253,2019-09-30,,,1.0,0.0,8.0,6.0,,,3.0,-1.0,,,20.0,0.0,,,3.0,,5.0,0.0
6268,2020-04-27,7.0,,4.0,,1.0,,,,,,,,16.0,,3.0,,,,,
6269,2015-10-13,7.0,,4.0,,8.0,,,,,,,,13.0,,2.0,,,,,
6269,2016-10-01,7.0,0.0,4.0,0.0,8.0,0.0,,,,,,,13.0,0.0,2.0,0.0,,,,
6269,2017-09-19,7.0,0.0,3.0,-1.0,8.0,0.0,,,,,,,12.0,-1.0,2.0,0.0,,,3.0,
6269,2018-02-13,7.0,0.0,,,8.0,0.0,,,,,,,12.0,0.0,2.0,0.0,,,,
6269,2018-08-27,7.0,0.0,4.0,1.0,8.0,0.0,,,,,,,12.0,0.0,2.0,0.0,,,5.0,2.0
6269,2018-12-20,7.0,0.0,4.0,0.0,1.0,-7.0,,,,,,,15.0,3.0,2.0,0.0,,,,
6269,2019-11-12,7.0,0.0,4.0,0.0,1.0,0.0,,,,,,,12.0,-3.0,2.0,0.0,,,,
6272,2015-12-31,7.0,,4.0,,8.0,,,,,,,,15.0,,5.0,,,,5.0,
6274,2016-05-27,7.0,,4.0,,3.0,,,,4.0,,,,15.0,,1.0,,,,4.0,
6274,2016-11-16,7.0,0.0,4.0,0.0,2.0,-1.0,,,,,,,1.0,-14.0,1.0,0.0,,,3.0,-1.0
6274,2017-11-01,7.0,0.0,4.0,0.0,2.0,0.0,,,,,,,1.0,0.0,1.0,0.0,,,1.0,-2.0
6274,2018-05-08,7.0,0.0,,,2.0,0.0,,,,,,,1.0,0.0,1.0,0.0,,,3.0,2.0
6274,2018-11-05,7.0,0.0,4.0,0.0,2.0,-1.0,,,,,,,5.0,4.0,1.0,0.0,,,1.0,-1.0
6274,2019-01-29,7.0,0.0,4.0,0.0,3.0,1.0,5.0,,1.0,-3.0,2.0,,1.0,0.0,1.0,0.0,2.0,,2.0,-1.0
6274,2019-05-19,7.0,0.0,4.0,0.0,2.0,0.0,,,,,,,1.0,-4.0,,,,,3.0,2.0
6274,2019-07-15,7.0,0.0,4.0,0.0,2.0,0.0,,,,,,,1.0,0.0,1.0,0.0,,,3.0,0.0
6274,2020-10-13,,,,,7.0,5.0,,,,,,,15.0,14.0,4.0,3.0,,,,
6283,2018-12-04,7.0,,3.0,,3.0,,6.0,,4.0,,4.0,,7.0,,1.0,,3.0,,4.0,
6285,2019-06-19,7.0,,,,1.0,,11.0,,2.0,,1.0,,1.0,,1.0,,5.0,,3.0,
6288,2015-09-24,4.0,,2.0,0.0,8.0,0.0,,,,,,,4.0,-11.0,3.0,0.0,,,,
6288,2015-10-08,,,2.0,0.0,8.0,,,,,,,,15.0,,3.0,,,,,
6288,2016-10-20,,,2.0,0.0,8.0,0.0,,,,,,,15.0,11.0,3.0,0.0,,,,
6288,2018-02-13,7.0,3.0,2.0,0.0,2.0,-6.0,,,,,,,17.0,2.0,3.0,0.0,,,,
6288,2018-10-15,7.0,0.0,2.0,0.0,1.0,-1.0,,,,,,,15.0,-2.0,3.0,0.0,,,,
6296,2019-09-29,7.0,,2.0,,8.0,,12.0,,4.0,,3.0,,4.0,,6.0,,3.0,,5.0,
6302,2018-05-08,7.0,,2.0,,8.0,,,,,,,,13.0,,2.0,,,,4.0,
6305,2015-10-26,7.0,,4.0,,8.0,,,,,,,,16.0,,3.0,,,,,
6305,2016-12-06,7.0,0.0,4.0,0.0,8.0,0.0,,,,,,,16.0,0.0,3.0,0.0,,,,
6316,2018-09-21,7.0,,3.0,,1.0,,10.0,,3.0,,4.0,,3.0,,1.0,,3.0,,4.0,
6316,2019-06-03,7.0,0.0,4.0,1.0,1.0,0.0,,,,,,,3.0,0.0,2.0,1.0,,,3.0,-1.0
6320,2017-04-06,7.0,,3.0,,2.0,,7.0,,3.0,,1.0,,3.0,,1.0,,3.0,,3.0,
6322,2017-02-10,7.0,,2.0,,5.0,,,,4.0,,,,14.0,,5.0,,,,4.0,
6326,2019-09-17,7.0,,3.0,,3.0,,,,,,,,1.0,,1.0,,,,4.0,
6336,2018-10-16,7.0,0.0,2.0,0.0,2.0,0.0,,,,,,,15.0,0.0,1.0,0.0,,,,
6336,2018-10-18,7.0,,2.0,,2.0,,,,,,,,15.0,,1.0,,,,5.0,
6340,2019-09-30,,,2.0,,8.0,,,,3.0,,,,13.0,,,,4.0,,5.0,
6341,2015-07-13,7.0,,3.0,,2.0,,,,,,,,1.0,,2.0,,,,3.0,
6341,2015-07-22,7.0,0.0,3.0,0.0,2.0,0.0,,,,,,,1.0,0.0,2.0,0.0,,,3.0,0.0
6345,2016-02-25,7.0,,3.0,,8.0,,,,,,,,16.0,,1.0,,,,4.0,
6345,2016-05-13,7.0,0.0,3.0,0.0,2.0,-6.0,,,,,,,15.0,-1.0,4.0,3.0,,,2.0,-2.0
6347,2017-09-01,7.0,,2.0,,7.0,,9.0,,4.0,,4.0,,15.0,,5.0,,3.0,,5.0,
6347,2018-07-20,,,3.0,1.0,8.0,1.0,10.0,1.0,4.0,0.0,,,15.0,0.0,5.0,0.0,5.0,2.0,5.0,0.0
6352,2015-12-02,,,5.0,,8.0,,,,,,,,16.0,,2.0,,,,4.0,
6359,2012-02-29,7.0,,4.0,,2.0,-1.0,,,,,,,7.0,-6.0,1.0,-1.0,,,3.0,
6359,2013-03-01,7.0,0.0,4.0,0.0,3.0,,,,,,,,13.0,,2.0,,,,3.0,0.0
6359,2014-03-01,7.0,0.0,4.0,0.0,2.0,0.0,,,,,,,13.0,0.0,1.0,0.0,,,3.0,0.0
6359,2015-07-23,7.0,0.0,4.0,0.0,2.0,0.0,,,,,,,11.0,4.0,1.0,0.0,,,1.0,-2.0
6359,2016-01-06,7.0,0.0,4.0,0.0,2.0,0.0,,,,,,,6.0,-5.0,1.0,0.0,,,2.0,1.0
6359,2016-02-08,,,,,2.0,0.0,,,,,,,3.0,-3.0,1.0,0.0,,,,
6362,2015-12-01,7.0,,3.0,,3.0,,,,4.0,,,,16.0,,1.0,,,,4.0,
6383,2017-02-23,5.0,,4.0,,2.0,,,,,,,,15.0,,3.0,,,,,
6383,2017-10-01,7.0,2.0,4.0,0.0,7.0,5.0,,,,,,,15.0,0.0,3.0,0.0,,,4.0,
6383,2019-10-18,,,4.0,0.0,2.0,-5.0,,,,,,,13.0,-2.0,3.0,0.0,,,,
6385,2017-04-21,7.0,,4.0,,8.0,,,,,,,,15.0,,5.0,,,,,
6389,2017-02-17,2.0,,4.0,,2.0,,,,,,,,16.0,,3.0,,,,,
6389,2018-04-17,,,4.0,0.0,2.0,0.0,,,,,,,20.0,4.0,,,,,,
6395,2017-03-03,7.0,,4.0,,5.0,,,,4.0,,,,3.0,,3.0,,,,3.0,
6399,2015-10-15,,,2.0,,8.0,,,,,,,,12.0,,4.0,,,,,
6399,2016-10-01,7.0,,2.0,0.0,8.0,0.0,,,,,,,12.0,0.0,4.0,0.0,,,3.0,
6399,2018-10-01,7.0,0.0,4.0,2.0,8.0,0.0,,,,,,,13.0,1.0,4.0,0.0,,,,
6399,2019-10-01,7.0,0.0,2.0,-2.0,8.0,0.0,,,,,,,12.0,-1.0,4.0,0.0,,,,
6403,2016-01-10,7.0,,,,,,,,,,,,1.0,,,,,,,
6403,2016-01-16,,,,,,,,,,,,,5.0,4.0,,,,,,
6403,2016-11-04,7.0,0.0,,,,,,,,,,,5.0,0.0,,,,,3.0,
6403,2017-11-12,7.0,0.0,5.0,,2.0,,,,,,,,1.0,-4.0,1.0,,,,1.0,-2.0
6403,2019-11-19,7.0,0.0,,,1.0,-1.0,,,,,,,5.0,4.0,,,,,,
6413,2018-11-13,7.0,,4.0,,5.0,,,,,,,,3.0,,4.0,,,,5.0,
6417,2017-10-13,7.0,,6.0,,1.0,,,,,,,,16.0,,4.0,,,,,
6421,2015-10-13,7.0,,5.0,,8.0,,,,,,,,16.0,,3.0,,,,4.0,
6421,2016-10-26,7.0,0.0,5.0,0.0,8.0,0.0,,,,,,,16.0,0.0,3.0,0.0,,,,
6421,2017-10-26,7.0,0.0,5.0,0.0,8.0,0.0,,,,,,,20.0,4.0,3.0,0.0,,,,
6421,2018-10-01,7.0,0.0,4.0,-1.0,8.0,0.0,,,,,,,20.0,0.0,3.0,0.0,,,,
6424,2018-11-01,,,2.0,,2.0,,,,,,,,16.0,,1.0,,,,,
6439,2016-03-24,,,2.0,,,,,,3.0,,,,13.0,,2.0,,,,4.0,
6439,2018-03-15,,,2.0,0.0,,,12.0,,3.0,0.0,4.0,,12.0,-1.0,3.0,1.0,5.0,,4.0,0.0
6439,2019-10-01,,,2.0,0.0,8.0,,,,3.0,0.0,,,13.0,1.0,,,4.0,-1.0,5.0,1.0
6439,2019-10-18,7.0,0.0,2.0,0.0,8.0,0.0,,,3.0,0.0,,,13.0,0.0,2.0,-1.0,,,,
6439,2020-03-03,7.0,,2.0,0.0,8.0,0.0,11.0,-1.0,3.0,0.0,5.0,1.0,13.0,0.0,,,5.0,1.0,5.0,0.0
6443,2017-01-18,7.0,,4.0,,,,,,4.0,,,,,,3.0,,,,3.0,
6444,2015-10-20,,,2.0,,2.0,,,,,,,,15.0,,1.0,,,,,
6444,2016-03-17,7.0,,4.0,2.0,3.0,1.0,,,,,,,15.0,0.0,1.0,0.0,,,3.0,
6444,2017-01-03,7.0,0.0,2.0,-2.0,5.0,2.0,,,,,,,15.0,0.0,3.0,2.0,,,,
6444,2017-11-28,7.0,0.0,2.0,0.0,3.0,-2.0,,,,,,,15.0,0.0,2.0,-1.0,,,,
6449,2016-12-01,7.0,,3.0,,2.0,,,,,,,,15.0,,4.0,,3.0,,4.0,
6449,2017-05-15,,,3.0,0.0,,,11.0,,3.0,,4.0,,15.0,0.0,3.0,-1.0,5.0,2.0,3.0,-1.0
6458,2016-10-11,2.0,,2.0,,8.0,,,,,,,,15.0,,1.0,,,,,
6458,2016-10-21,2.0,0.0,2.0,0.0,1.0,-7.0,,,4.0,,,,17.0,2.0,1.0,0.0,,,4.0,
6458,2016-12-30,2.0,0.0,2.0,0.0,2.0,1.0,,,,,,,15.0,-2.0,2.0,1.0,,,5.0,1.0
6458,2018-10-15,,,2.0,0.0,3.0,1.0,,,,,,,20.0,5.0,2.0,0.0,,,,
6458,2019-11-20,,,3.0,1.0,3.0,0.0,,,,,,,20.0,0.0,4.0,2.0,,,,
6461,2015-09-03,,,5.0,,2.0,,,,,,,,1.0,,,,,,1.0,
6461,2018-01-30,7.0,,5.0,0.0,1.0,-1.0,,,,,,,5.0,4.0,1.0,,,,2.0,1.0
6461,2019-05-06,7.0,0.0,,,2.0,1.0,,,,,,,1.0,-4.0,1.0,0.0,,,1.0,-1.0
6462,2017-07-24,7.0,,3.0,,3.0,,11.0,,4.0,,4.0,,15.0,,3.0,,5.0,,5.0,
6463,2015-06-10,7.0,,3.0,,8.0,,,,3.0,,,,,,,,,,4.0,
6463,2015-12-02,7.0,0.0,3.0,0.0,8.0,0.0,,,,,,,3.0,-10.0,2.0,0.0,,,4.0,0.0
6463,2015-12-31,7.0,0.0,3.0,0.0,8.0,0.0,,,,,,,13.0,10.0,2.0,0.0,,,4.0,0.0
6463,2016-06-10,,,,,,,,,,,,,13.0,,2.0,,,,,
6479,2015-10-29,,,4.0,,2.0,,,,3.0,,,,7.0,,1.0,,,,4.0,
6485,2016-09-30,7.0,,4.0,,4.0,,,,,,,,20.0,,3.0,,,,2.0,
6487,2017-10-27,7.0,,2.0,,,,,,,,,,17.0,,6.0,,,,4.0,
6489,2016-04-11,4.0,,5.0,,2.0,,,,,,,,3.0,,1.0,,,,3.0,
6489,2016-12-16,4.0,0.0,5.0,0.0,4.0,1.0,,,,,,,15.0,12.0,3.0,-2.0,,,3.0,0.0
6489,2016-12-29,4.0,0.0,5.0,0.0,3.0,1.0,,,,,,,,,5.0,4.0,,,3.0,0.0
6489,2017-07-01,4.0,0.0,5.0,0.0,5.0,1.0,,,,,,,12.0,-3.0,4.0,1.0,,,3.0,0.0
6489,2017-08-15,4.0,0.0,5.0,0.0,5.0,0.0,,,3.0,,4.0,,7.0,-5.0,1.0,-3.0,4.0,,5.0,2.0
6489,2019-01-07,,,5.0,0.0,5.0,0.0,,,,,,,13.0,6.0,4.0,3.0,,,,
6489,2019-10-29,5.0,1.0,5.0,0.0,7.0,2.0,,,,,,,6.0,-7.0,3.0,-1.0,,,3.0,-2.0
6490,2018-01-30,7.0,,2.0,,2.0,,12.0,,3.0,,4.0,,,,3.0,,,,3.0,
6490,2019-01-30,,,,,,,,,,,,,,,,,5.0,,,
6508,2017-02-07,7.0,,5.0,,8.0,,,,,,,,15.0,,3.0,,,,,
6508,2017-12-14,7.0,0.0,,,8.0,7.0,,,,,,,13.0,6.0,3.0,0.0,,,,
6508,2018-01-19,7.0,0.0,4.0,-1.0,1.0,-7.0,8.0,,3.0,,4.0,,7.0,-8.0,3.0,0.0,3.0,,5.0,
6508,2018-05-10,7.0,0.0,2.0,-2.0,8.0,0.0,,,,,,,15.0,2.0,3.0,0.0,,,,
6508,2018-10-16,7.0,0.0,5.0,3.0,1.0,-7.0,,,,,,,12.0,-3.0,3.0,0.0,,,,
6508,2019-12-02,7.0,0.0,3.0,-2.0,8.0,7.0,,,,,,,,,2.0,-1.0,,,5.0,0.0
6508,2020-12-14,7.0,0.0,3.0,0.0,8.0,0.0,,,,,,,,,3.0,1.0,,,5.0,0.0
6512,2015-11-10,,,4.0,,3.0,,,,,,,,15.0,,4.0,,,,,
6512,2016-12-02,4.0,,4.0,0.0,3.0,0.0,,,,,,,15.0,0.0,4.0,0.0,,,,
6512,2017-11-01,,,4.0,0.0,3.0,0.0,,,,,,,15.0,0.0,1.0,-3.0,,,,
6512,2018-12-07,2.0,-2.0,4.0,0.0,7.0,4.0,,,,,,,15.0,0.0,3.0,2.0,,,5.0,
6512,2019-10-01,7.0,5.0,4.0,0.0,3.0,-4.0,,,,,,,15.0,0.0,3.0,0.0,,,,
